query_id,provider,found,matched,truncated,stored,error
Q01,arxiv,200,995373,True,200,
Q01,crossref,100,2191490,True,89,
Q01,dblp,2,2,False,2,
Q01,openalex,200,1813,True,149,
Q01,semantic,0,0,False,0,"semantic 429: {""message"": ""Too Many Requests. Please wait and try again or apply"
Q02,arxiv,200,269785,True,200,
Q02,crossref,100,1394469,True,93,
Q02,dblp,0,0,False,0,
Q02,openalex,200,1243,True,193,
Q03,arxiv,200,862413,True,200,
Q03,crossref,100,1929276,True,87,
Q03,dblp,0,0,False,0,
Q03,openalex,200,9111,True,196,
Q04,arxiv,200,977063,True,200,
Q04,openalex,200,14216,True,194,
Q05,arxiv,200,991893,True,200,
Q05,openalex,200,8675,True,195,
Q06,arxiv,200,886409,True,200,
Q06,openalex,200,2263,True,188,
Q07,arxiv,200,922693,True,200,
Q07,openalex,200,17798,True,195,
Q08,arxiv,200,876586,True,200,
Q08,openalex,200,1287,True,193,
Q09,arxiv,200,886070,True,200,
Q09,openalex,200,1998,True,195,
Q10,arxiv,200,910081,True,200,
Q10,openalex,200,1654,True,191,
Q11,arxiv,200,362187,True,200,
Q11,openalex,200,5458,True,176,
Q12,arxiv,200,852897,True,200,
Q12,openalex,178,178,False,167,
Q13,arxiv,200,879265,True,200,
Q13,openalex,200,1089,True,184,
Q14,arxiv,200,214151,True,199,
Q14,openalex,200,1447,True,184,
Q15,arxiv,200,981233,True,200,
Q15,openalex,200,4639,True,183,
Q16,arxiv,200,160531,True,200,
Q16,openalex,200,313,True,195,
Q17,arxiv,200,175986,True,200,
Q17,openalex,200,265,True,192,
Q18,arxiv,200,661916,True,200,
Q18,openalex,200,8495,True,182,
Q19,arxiv,200,945349,True,200,
Q19,openalex,200,14885,True,197,
Q20,arxiv,200,904337,True,200,
Q20,openalex,200,1864,True,191,
Q21,arxiv,200,879494,True,200,
Q21,openalex,200,7319,True,196,
Q22,arxiv,200,135265,True,200,
Q22,openalex,200,2360,True,192,
Q23,arxiv,15,15,False,15,
Q23,openalex,200,629,True,169,
